URL,ISIN,Company,Kupon_Maturity,Coupon,Maturity_Start,Maturity_End,is_green,Letzter Preis,Veränderung zum Vortag,Letzter Handel,Geld,Brief,Modified Duration,Kupon,Emittent,Branche,Fälligkeit,Schuldnerkündigungsart,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,Spezialist,Handelsmodell,Emissionsdatum,Emissionsvolumen,Umlaufendes Volumen,Emissionswährung,Depotwährung,Notierungsaufnahme,Emission_year_2020.0,Emission_year_2021.0,Emission_year_2022.0,Emission_year_2023.0,Emission_year_2024.0,Emission_year_2025.0
https://www.boerse-frankfurt.de/anleihe/de000dw6c4w0-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-2-75-23-26,de000dw6c4w0,dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main,2-75-23-26,2.75,23,26,0,"100,27","0,03%",,Brief,,1202,27.5,DZ BANK AG Deutsche Zentral-Genossenschaftsbank,Schuldverschreibungen von Sonderinstituten,"01,06,2026",,,,1000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2023-06-01,500000000.0,500000000.0,EUR,EUR,"02,06,2023",False,False,False,True,False,False
https://www.boerse-frankfurt.de/anleihe/de000hel0bb8-landesbank-hessen-thueringen-girozentrale-4-24-30,de000hel0bb8,landesbank-hessen-thueringen-girozentrale,4-24-30,4.0,24,30,0,"96,75","0,26%",,Brief,,4037,40,Landesbank Hessen-ThÃ¼ringen Girozentrale,WÃ¤hrungsanleihen,"02,12,2030",,,,1000.0,BAADER BANK AG,Fortlaufende Auktion,2024-12-02,100000000.0,1149000.0,USD,USD,"02,12,2024",False,False,False,False,True,False
https://www.boerse-frankfurt.de/anleihe/de000hel0da6-landesbank-hessen-thueringen-girozentrale-2-25-26,de000hel0da6,landesbank-hessen-thueringen-girozentrale,2-25-26,2.0,25,26,0,"99,55","0,00%",,Brief,,"0,904",20,Landesbank Hessen-ThÃ¼ringen Girozentrale,Pfandbriefe von Hypothekenbankenoder,"05,02,2026",,,,1000.0,BAADER BANK AG,Fortlaufende Auktion,2025-02-05,100000000.0,100000000.0,EUR,EUR,"05,02,2025",False,False,False,False,False,True
https://www.boerse-frankfurt.de/anleihe/usn30707at57-enel-finance-international-n-v-7-5-22-32,usn30707at57,enel-finance-international-n-v,7-5-22-32,7.5,22,32,0,"112,70","0,06%",,Brief,,4835,75,"ENEL Finance International N,V,",WÃ¤hrungsanleihen,"14,10,2032",Special call,,,200000.0,WOLFGANG STEUBING AG,Fortlaufende Auktion,2022-10-14,1250000000.0,1250000000.0,USD,USD,"11,10,2022",False,False,True,False,False,False
https://www.boerse-frankfurt.de/anleihe/xs2579293536-enbw-international-finance-b-v-4-23-35,xs2579293536,enbw-international-finance-b-v,4-23-35,4.0,23,35,0,"103,26","-0,27%",,Brief,,5916,40,"EnBW International Finance B,V,",WÃ¤hrungsanleihen,"24,01,2035",Special call,,,1000.0,WOLFGANG STEUBING AG,Fortlaufende Auktion,2023-01-24,750000000.0,750000000.0,EUR,EUR,"19,01,2023",False,False,False,True,False,False
https://www.boerse-frankfurt.de/anleihe/xs2613472963-hera-s-p-a-4-25-23-33,xs2613472963,hera-s-p-a,4-25-23-33,4.25,23,33,0,"105,34","-0,21%",,Brief,,5360,42.5,"Hera S,p,A,",WÃ¤hrungsanleihen,"20,04,2033",Special call,,,100000.0,WOLFGANG STEUBING AG,Fortlaufende Auktion,2023-04-20,600000000.0,600000000.0,EUR,EUR,"11,05,2023",False,False,False,True,False,False
https://www.boerse-frankfurt.de/anleihe/xs2892332458-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-3-35-24-26,xs2892332458,dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main,3-35-24-26,3.35,24,26,0,"97,59","0,02%",,Brief,,1452,33.5,DZ BANK AG Deutsche Zentral-Genossenschaftsbank,WÃ¤hrungsanleihen,"02,10,2026",,,,2000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2024-10-02,25000000.0,25000000.0,USD,USD,"02,10,2024",False,False,False,False,True,False
https://www.boerse-frankfurt.de/anleihe/de000dfk0ck1-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-0-26-20-29,de000dfk0ck1,dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main,0-26-20-29,0.26,20,29,0,"89,56","0,20%",,Brief,,3881,"0,260%",DZ BANK AG Deutsche Zentral-Genossenschaftsbank,Schuldverschreibungen von Sonderinstituten,"30,07,2029",,,,1000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2020-07-30,10000000.0,10000000.0,EUR,EUR,"31,07,2020",True,False,False,False,False,False
https://www.boerse-frankfurt.de/anleihe/de000dfk0cl9-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-0-3-20-30,de000dfk0cl9,dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main,0-3-20-30,0.3,20,30,0,"87,24","0,22%",,Brief,,4603,"0,300%",DZ BANK AG Deutsche Zentral-Genossenschaftsbank,Schuldverschreibungen von Sonderinstituten,"30,07,2030",,,,1000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2020-07-30,10000000.0,10000000.0,EUR,EUR,"31,07,2020",True,False,False,False,False,False
https://www.boerse-frankfurt.de/anleihe/de000dfk0cm7-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-0-34-20-31,de000dfk0cm7,dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main,0-34-20-31,0.34,20,31,0,"84,98","0,22%",,Brief,,5265,"0,340%",DZ BANK AG Deutsche Zentral-Genossenschaftsbank,Schuldverschreibungen von Sonderinstituten,"30,07,2031",,,,1000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2020-07-30,10000000.0,10000000.0,EUR,EUR,"31,07,2020",True,False,False,False,False,False
